Date,UnixTime,VerifiedContracts,rolling_7,rolling_30,cumulative,year,month
2022-10-18,1666051200,877,644.2857142857143,643.3,329702,2022,10
2022-10-24,1666569600,976,793.7142857142857,673.6,334381,2022,10
2022-10-25,1666656000,876,793.5714285714286,681.5,335257,2022,10
2022-12-31,1672444800,871,692.8571428571429,632.6333333333333,375531,2022,12
2023-01-01,1672531200,1223,801.8571428571429,654.6666666666666,376754,2023,1
2023-01-02,1672617600,2172,1042.4285714285713,712.1,378926,2023,1
2023-02-06,1675641600,889,714.8571428571429,634.5333333333333,401336,2023,2
2023-04-20,1681948800,933,619.2857142857143,535.3666666666667,441226,2023,4
2023-05-10,1683676800,879,709.2857142857143,672.7,455506,2023,5
2023-05-15,1684108800,912,814.8571428571429,723.9333333333333,459478,2023,5
2023-05-16,1684195200,890,820.1428571428571,741.9666666666667,460368,2023,5
2023-05-17,1684281600,893,822.1428571428571,749.2666666666667,461261,2023,5
2023-05-19,1684454400,956,853.0,758.7,463054,2023,5
2023-05-22,1684713600,877,841.4285714285714,758.5,465368,2023,5
2023-05-24,1684886400,866,823.4285714285714,762.3666666666667,467025,2023,5
2023-05-29,1685318400,920,794.8571428571429,772.3,470932,2023,5
2023-05-31,1685491200,908,793.0,784.5,472576,2023,5
2023-06-01,1685577600,891,809.0,790.6666666666666,473467,2023,6
2023-07-07,1688688000,887,694.1428571428571,655.7333333333333,497234,2023,7
2023-07-10,1688947200,894,732.5714285714286,674.2333333333333,499571,2023,7
2023-07-12,1689120000,891,805.1428571428571,696.8,501291,2023,7
2023-07-25,1690243200,948,765.1428571428571,738.1333333333333,510783,2023,7
2023-07-27,1690416000,877,783.8571428571429,747.4333333333333,512447,2023,7
2023-08-07,1691366400,956,762.2857142857143,748.9333333333333,520387,2023,8
