year,total_verified,daily_mean,median,max,min,pct_change_yearly
2015,0,0.0,0.0,0,0,0.0
2016,808,2.2076502732240435,1.0,36,0,inf
2017,9390,25.726027397260275,17.0,105,0,10.621287128712872
2018,43970,120.46575342465754,120.0,293,24,3.6826411075612357
2019,24240,66.41095890410959,68.0,189,20,-0.44871503297702975
2020,48316,132.01092896174865,91.5,387,15,0.9932343234323433
2021,78414,214.83287671232875,210.0,433,69,0.6229406407815217
2022,170393,466.8301369863014,456.0,976,139,1.1729920677430052
2023,225707,618.3753424657534,623.0,2172,203,0.3246260116319333
2024,124439,339.9972677595628,337.5,593,126,-0.4486701785943723
2025,90780,295.70032573289905,297.0,594,99,-0.27048594090277167
